acc,acc_last_visited
block_html,block_html_block_title
blog,blog_back_to_ilias
blog,blog_background_color
blog,blog_change_notification_body_comment
blog,blog_change_notification_salutation
blog,blog_changed_by
blog,blog_font_color
blog,blog_news_title
blog,blog_search_users
book,book_add_type
book,book_change_status
book,book_create_title
book,book_current_user
book,book_earlier
book,book_edit_type
book,book_group_objects
book,book_group_objects_info
book,book_later
book,book_list_items
book,book_minutes
book,book_reservation_block
book,book_reservation_cancel
book,book_reservation_status_2
book,book_schedule_break
book,book_schedule_break_info
book,book_schedule_raster
book,book_schedule_raster_info
book,book_schedule_rent_info
book,book_schedule_rent_max
book,book_schedule_rent_min
book,book_schedule_type_fix
book,book_schedule_type_fix_info
book,book_schedule_type_flexible
book,book_schedule_type_flexible_info
book,book_schedule_warning
book,book_set_in_use
book,book_set_not_cancel
book,book_set_not_in_use
book,book_slots_no
book,book_slots_no_info
book,book_type_added
book,book_type_deleted
book,book_type_updated
buddysystem,buddy_bs_btn_txt_unlinked_p
buddysystem,buddy_bs_no_new_requests
buddysystem,buddy_bs_state_linked_p
buddysystem,buddy_bs_state_unlinked
buddysystem,buddy_bs_state_unlinked_p
certificate,certificate_bottom
certificate,certificate_delete
certificate,certificate_left
certificate,certificate_padding_top
certificate,certificate_right
certificate,certificate_show
certificate,certificate_status
certificate,certificate_status_complete
certificate,certificate_status_incomplete
certificate,certificate_top
certificate,certificate_wrong_unit
certificate,certificate_wrong_units
chatroom,chat_create_new_private_room
chatroom,chat_delete
chatroom,chat_invite_users
chatroom,chat_leave
chatroom,chat_message_notify_activate
chatroom,chat_new_invitation_sound_status
chatroom,chat_new_message_sound_status
chatroom,chat_private_room
chatroom,chat_right_box_user
chatroom,chtr_moderate
chatroom,hint_unique_name
chatroom,instance_name
chatroom,restrict_history_info
chatroom,settings_privacy
chatroom,soap_must_be_enabled
chatroom,soap_user
chatroom,soap_user_password
chatroom,unkown_private_room
chatroom_adm,keypass
chatroom_adm,keystore
chatroom_adm,priv_hosts
chatroom_adm,soap_user_hint
chatroom_adm,storepass
cld,cld_empty
cld,service_specific_settings
cmps,cmps_disable_creation
cmps,cmps_duplicate_positions
cmps,cmps_edit_settings
cmps,cmps_plugin_dirs
cmps,cmps_refresh_plugins_inf
cmps,cmps_services
cmps,cmps_update_db
cntr,cntr_disable_multi_commands
cntr,cntr_enable_multi_commands
cntr,cntr_page_actions
common,access_enddate
common,access_restrict_enter
common,activate_block
common,active_roles
common,add_author
common,add_comments
common,add_members
common,add_new_user_defined_select_field
common,add_new_user_defined_text_field
common,add_new_user_defined_wysiwyg_field
common,adm_create_tax
common,admin_panel
common,administrate
common,advanced_editing_allow_javascript_editor
common,advanced_editing_lm_js_editing
common,advanced_editing_lm_js_editing_desc
common,advanced_editing_lm_settings
common,advanced_editing_no_rte
common,advanced_editing_settings
common,advanced_editing_tinymce
common,adve_lm_settings
common,adve_rep_settings
common,all_authors
common,all_commands
common,all_lms
common,all_tsts
common,announce
common,announce_changes
common,append_search
common,applied_users
common,appointment_list
common,arrow_downright
common,articels_unread
common,as_of
common,ass_log_available_tests
common,ass_log_path
common,assessment_defaults
common,assessment_log_manual_scoring
common,assessment_log_no_data
common,assessment_log_no_log
common,assessment_log_open_calendar
common,assessment_log_select_test
common,assessment_log_user_answer
common,assessment_log_user_answers
common,assessment_settings
common,assessment_use_javascript
common,assessment_use_javascript_desc
common,assign_lo_forum
common,assign_user_to_role
common,assigned_users
common,associated_users
common,at_location
common,attend
common,auth_cas_create_users_desc
common,auth_cas_settings_saved
common,auth_cas_user_default_role_desc
common,auth_ldap_desc
common,auth_ldap_not_configured
common,auth_ldap_settings_saved
common,auth_local_desc
common,auth_radius_desc
common,auth_radius_settings_saved
common,auth_script_desc
common,auth_shib_desc
common,auth_soap_user_default_role
common,authenticate_with
common,auto_registration
common,available_languages
common,average_time
common,back_to_sess_content
common,basic_commands
common,basic_data
common,benchmark_settings
common,big_icon
common,block_management
common,bookmark_edit
common,bookmark_folder_edit
common,bookmark_save_to
common,bottom_frame
common,bought_objects_expire_soon
common,btn_new_value
common,buy
common,cat_a
common,cat_clear_page
common,cat_pages
common,cat_pages_clear
common,cat_pages_not_created
common,cat_pages_undone
common,cat_title
common,cat_undo_last_page_changes
common,catr_edit
common,censorship
common,chac_edit_permission
common,chac_read
common,chac_visible
common,chac_write
common,change_active_assignment
common,change_lo_info
common,change_metadata
common,chapter_number
common,chapter_title
common,check_max_allowed_packet_size
common,chg_language
common,choose_location
common,clone_existing_course
common,clone_option_in_cat
common,clone_option_in_crs
common,clone_target
common,clone_target_title
common,close_window
common,condition_precondition
common,condition_select_one
common,condition_update
common,cont_object
common,cookies_howto
common,copied_object
common,copy_to
common,could_not_verify_account
common,create_block
common,create_in
common,cron_forum_notification_cron
common,cron_forum_notification_directly
common,cron_forum_notification_never
common,cron_jobs_desc
common,crs_a
common,crs_all_questions_answered_successfully
common,crs_available
common,crs_container_link_not_allowed
common,crs_info
common,crs_management_system
common,crs_no_content
common,crsr_edit
common,cumulative_time
common,cur_number_rec
common,custom_icon_size_big
common,custom_icon_size_standard
common,custom_icon_size_tiny
common,data_privacy
common,days_of_period
common,default_value
common,delete_all
common,delete_all_rec
common,delete_inactivated_user_accounts_interval
common,delete_inactivated_user_accounts_interval_desc
common,delete_inactive_user_accounts_interval
common,delete_object
common,delete_selected
common,delete_tr_data
common,deleted_user_account
common,disable_admin_force
common,disable_anonymous_fora
common,disable_anonymous_fora_desc
common,disk_space_used
common,display_webdav_actions
common,display_webdav_actions_info
common,drop
common,edit_comments
common,edit_data
common,edit_perm_ruleset
common,edited_at
common,email_feedback
common,email_footer
common,enable_admin_force
common,enable_disk_quota_info
common,enable_ext_lang_maint
common,enable_js_edit
common,enable_js_edit_info
common,enable_registration
common,enumerate
common,err_auth_ext_user_exists
common,err_enter_current_passwd
common,err_ldap_auth_failed
common,err_ldap_connect_failed
common,err_ldap_search_failed
common,err_ldap_user_not_found
common,err_unknown_error
common,exc_ask_delete
common,exc_assign_usr
common,exc_create
common,exc_details
common,exc_download_all
common,exc_download_new
common,exc_feedback_sent
common,exc_groups
common,exc_header_members
common,exc_mail_users
common,exc_no_members_assigned
common,exc_notices
common,exc_resubmitted_advice
common,exc_roles
common,exc_search_for
common,exc_send_exercise
common,exc_status_resubmitted
common,exc_status_sent
common,exc_status_solved
common,exc_status_submitted
common,exc_users
common,explorer_frame
common,export_format_selection
common,export_group_members
common,export_xml
common,ext_acccount_required
common,extt_configure
common,extt_name
common,extt_remark
common,extt_title_configure
common,faq_exercise
common,file_a
common,file_icon
common,file_lock_unlock_file
common,file_locked_by
common,file_new
common,file_version_rollback
common,filename_extension_short
common,files_location
common,fold_a
common,fold_copy_threads_info
common,fold_type
common,fold_wizard_page
common,forename
common,form_empty_fields
common,forum_attachments
common,forum_import
common,forum_import_file
forum,forums
common,forums_moderators
common,forums_overview
common,frm_a
common,frm_article
common,frm_create
common,frm_delete_post
common,frm_edit_post
common,frm_status_new
common,frm_status_new_desc
common,glo_create
common,glo_upload_file
common,glossary_added
common,group_access_denied
common,group_any_objects
common,group_create_chat
common,group_desc
common,group_details
common,group_filesharing
common,group_import
common,group_import_file
common,group_info_reg
common,group_memstat
common,group_memstat_admin
common,group_memstat_member
common,group_no_registration
common,group_no_registration_msg
common,group_not_available
common,group_objects
common,group_registration_expiration_date
common,group_registration_expiration_time
common,group_registration_expired
common,group_registration_expired_msg
common,group_req_password
common,group_req_registration
common,group_reset
common,group_status_closed
common,group_status_desc
common,group_status_public
common,grouping_select_exactly_one
common,groups_overview
common,grp_a
common,grp_add_member
common,grp_already_applied
common,grp_app_send_mail
common,grp_back
common,grp_count_members
common,grp_create
grp,grp_deleted_export_files
common,grp_err_at_least_one_groupadministrator_is_needed
common,grp_err_error
common,grp_err_last_member
common,grp_err_member_could_not_be_removed
common,grp_err_no_permission
common,grp_err_registration_data
common,grp_mail_body_new_subscription
common,grp_mail_body_subscription_cancelled
common,grp_mail_subj_new_subscription
common,grp_mail_subj_subscription_cancelled
common,grp_mem_leave
common,grp_msg_applicants_removed
common,grp_name_exists
common,grp_new_search
common,grp_no_groups_selected
common,grp_no_results_found
common,grp_no_roles_selected
common,grp_options
common,grp_register
common,grp_search_enter_search_string
common,grp_search_members
grp,grp_select_one_file
common,grp_select_one_file_only
common,grpr_edit
common,guest
common,guests
common,hh_mm
common,hh_mm_ss
common,hide_private_notes
common,hide_structure
common,hist_dbk_delete_pg
common,hist_dbk_delete_st
common,hist_dbk_pg_create
common,hist_dbk_pg_cut
common,hist_dbk_pg_paste
common,hist_dbk_pg_update
common,hist_dbk_st_cut_page
common,hist_dbk_st_paste_page
common,hist_file_create
common,hist_file_new_version
common,hist_file_replace
common,hist_lm_pg_cut
common,hist_lm_pg_paste
common,hist_lm_pg_update
common,hist_lm_st_cut_page
common,hist_lm_st_paste_page
common,hist_no_entries
common,hours_of_day
common,htlm_edit
common,html_block
common,icons_in_header
common,icons_in_item_rows
common,icons_in_typed_lists
